param	n	pearson	p	sigma
npr	589	-0.1862	0.0005894	4.5910
yrbL	589	0.0938	0.3077	2.2826
mtgA	589	-0.1738	0.002301	4.2765
elbB	589	-0.08779	0.4988	2.1353
arcB	589	0.318	2.985e-13	8.1270
yhcC	589	0.3143	6.562e-13	8.0222
gltF	589	-0.414	4.019e-24	11.0187
yhcA	589	-0.3226	1.117e-13	8.2563
yhcD	589	-0.2324	1.43e-06	5.7890
ychE_1	589	-0.2934	4.552e-11	7.4359
yhcG	589	-0.3266	4.63e-14	8.3706
yhcH	589	-0.08946	0.4529	2.1763
dcuD	589	-0.2064	5.071e-05	5.1111
sspB	589	-0.002609	0.9481	0.0632
sspA	589	0.1934	0.0002534	4.7760
rpsI	589	0.05187	0.8859	1.2585
rplM	589	0.08459	0.5744	2.0568
yhcM	589	0.2308	1.814e-06	5.7462
yhcB	589	-0.2588	2.292e-08	6.4920
degQ	589	0.008041	0.9472	0.1948
degS	589	0.2751	1.382e-09	6.9324
yhcN	589	-0.2561	3.613e-08	6.4181
yhcO	589	-0.06012	0.8503	1.4592
aaeB	589	-0.3363	5.056e-15	8.6523
aaeA	589	-0.3121	1.047e-12	7.9595
aaeX	589	-0.3482	3.057e-16	8.9985
tldD	589	-0.01209	0.946	0.2930
rng	589	-0.2015	9.438e-05	4.9842
yhdE	589	0.3442	8.022e-16	8.8808
mreD	589	0.2614	1.49e-08	6.5613
mreC	589	0.1843	0.0007321	4.5423
mreB	589	0.1886	0.0004436	4.6541
csrD	589	-0.1122	0.4671	2.7365
yhdH	589	0.2453	2.015e-07	6.1315
b3254	589	-0.01452	0.9449	0.3519
yhdT	589	-0.2305	1.885e-06	5.7392
prmA	589	-0.2618	1.404e-08	6.5708
dusB	589	-0.2632	1.103e-08	6.6093
yhdJ	589	-0.3369	4.388e-15	8.6701
yhdU	589	-0.2609	1.617e-08	6.5481
yhdV	589	-0.2712	2.772e-09	6.8257
yhdW	589	-0.2751	1.376e-09	6.9330
yhdX	589	-0.2936	4.409e-11	7.4405
yhdY	589	-0.01673	0.9438	0.4054
yhdZ	589	-0.1298	0.1308	3.1724
yrdA	589	0.09637	0.1998	2.3457
yrdB	589	-0.191	0.0003388	4.7132
tsaC	589	0.01792	0.9431	0.4343
yrdD	589	-0.2718	2.49e-09	6.8422
smg	589	0.02383	0.9388	0.5776
smf_2	589	0.1595	0.009851	3.9140
smf_1	589	-0.2887	1.13e-10	7.3048
def	589	0.119	0.2925	2.9043
rsmB	589	0.07609	0.7158	1.8489
mscL	589	0.04351	0.9098	1.0553
yhdN	589	-0.1864	0.0005727	4.5975
rplQ	589	-0.04913	0.8949	1.1918
rpoA	589	-0.02254	0.9399	0.5463
rpsD	589	-0.089	0.4662	2.1648
rpsK	589	0.1374	0.07122	3.3610
rpsM	589	0.0738	0.7432	1.7929
rpmJ	589	0.1478	0.02915	3.6209
secY	589	0.2058	5.486e-05	5.0952
rplO	589	0.05318	0.8812	1.2904
rpmD	589	0.1413	0.0515	3.4576
rpsE	589	0.04804	0.8981	1.1653
rplR	589	0.03989	0.9174	0.9673
rplF	589	0.1259	0.1762	3.0758
rpsH	589	0.1214	0.2468	2.9629
rpsN	589	0.1336	0.09694	3.2667
rplE	589	0.08705	0.5177	2.1172
rplX	589	0.1053	0.7337	2.5645
rplN	589	0.1306	0.1233	3.1911
rpsQ	589	-0.03642	0.9236	0.8830
rpmC	589	-0.009795	0.9467	0.2373
rplP	589	0.04759	0.8994	1.1544
rpsC	589	0.1207	0.2585	2.9470
rplV	589	0.1188	0.2977	2.8981
rpsS	589	0.04692	0.9012	1.1381
rplB	589	0.1162	0.3572	2.8338
rplW	589	0.03142	0.9309	0.7615
rplD	589	0.1214	0.2457	2.9644
rplC	589	-0.03689	0.9228	0.8944
rpsJ	589	0.1545	0.0158	3.7891
gspB	589	-0.312	1.065e-12	7.9572
gspA	589	-0.2328	1.354e-06	5.7988
gspC	589	-0.3514	1.377e-16	9.0948
gspD	589	-0.3678	2.155e-18	9.5841
gspE	589	-0.2641	9.506e-09	6.6329
gspF	589	-0.2544	4.719e-08	6.3743
gspG	589	-0.2763	1.11e-09	6.9657
gspH	589	-0.2615	1.457e-08	6.5648
gspI	589	-0.26	1.891e-08	6.5230
gspJ	589	-0.1101	0.539	2.6831
gspK	589	-0.2607	1.68e-08	6.5420
gspL	589	-0.2702	3.272e-09	6.8000
gspM	589	-0.3222	1.217e-13	8.2450
gspO	589	-0.02841	0.9344	0.6886
bfr	589	-0.1036	0.8113	2.5246
bfd	589	0.02908	0.9337	0.7049
chiA	589	-0.2546	4.561e-08	6.3799
tufA	589	0.1361	0.07915	3.3290
fusA	589	0.181	0.001054	4.4594
rpsG	589	0.08147	0.6348	1.9805
rpsL	589	0.15	0.02404	3.6746
tusB	589	-0.2524	6.563e-08	6.3199
tusC	589	0.1571	0.01238	3.8540
tusD	589	-0.1328	0.1038	3.2453
fkpA	589	0.2441	2.448e-07	6.0983
slyX	589	0.01527	0.9446	0.3701
slyD	589	0.2295	2.193e-06	5.7117
kefG	589	0.1726	0.002617	4.2456
yheS	589	0.1928	0.0002735	4.7596
yheT	589	-0.1538	0.01681	3.7723
yheU	589	-0.2395	4.958e-07	5.9764
prkB	589	0.208	4.142e-05	5.1517
yhfA	589	-0.2617	1.415e-08	6.5696
yhfK	589	-0.1749	0.002052	4.3038
fic	589	0.02441	0.9383	0.5915
yhfG	589	0.06457	0.8238	1.5676
ppiA	589	0.08656	0.5297	2.1051
tsgA	589	-0.1558	0.01402	3.8211
yhfL	589	-0.3309	1.738e-14	8.4962
yhfS	589	0.04137	0.9145	1.0031
